2006d208_11h08m04s_Cont_sarah_HYDRA_A.csv
This .csv file was written on, 2007-10-03, 10:23:24
Object, HYDRA A 

-0.484965,0.130546,0.173694
-0.484630,0.105929,0.115796
-0.484296,0.094739,0.208652
-0.483962,0.061170,0.176971
-0.483628,0.076090,0.240332
-0.483293,0.023871,0.182434
-0.482959,-0.013428,0.138737
-0.482625,0.158893,0.291675
-0.482291,0.126070,0.117981
-0.481957,0.154417,0.180249
-0.481622,0.099961,0.181341
-0.481288,0.102199,0.239239
-0.480954,0.143228,0.166047
-0.480620,0.045505,0.311339
-0.480285,0.127562,0.222853
-0.479951,0.114881,0.225038
-0.479617,0.127562,0.269827
-0.479283,0.167099,0.228315
-0.478948,0.093247,0.032772
-0.478614,0.122340,0.127813
-0.478280,0.011190,0.287306
-0.477946,0.011190,0.280751
-0.477612,0.106675,0.259995
-0.477277,0.041775,0.247979
-0.476943,0.103691,0.197727
-0.476609,0.076090,0.147476
-0.476275,0.061916,0.179156
-0.475940,0.112643,0.170417
-0.475606,0.075344,0.234870
-0.475272,0.053710,0.204282
-0.474938,0.082804,0.299322
-0.474603,0.133530,0.225038
-0.474269,0.076090,0.241424
-0.473935,0.093247,0.234870
-0.473601,0.085787,0.204282
-0.473267,0.088025,0.328817
-0.472932,0.139498,0.312431
-0.472598,0.050726,0.316801
-0.472264,0.123086,0.297137
-0.471930,0.025363,0.198820
-0.472283,0.096231,0.305877
-0.471261,0.158147,0.168232
-0.470927,0.126070,0.140922
-0.470593,0.167845,0.208652
-0.470946,0.086533,0.183526
-0.470612,0.140244,0.194450
-0.469590,0.092501,0.152938
-0.469943,0.116373,0.252348
-0.469609,0.107421,0.174787
-0.469275,0.044013,0.228315
-0.468940,0.124578,0.222853
-0.468606,0.089517,0.261088
-0.468272,0.126816,0.262180
-0.467938,0.092501,0.314616
-0.467604,0.139498,0.270919
-0.467269,0.117119,0.280751
-0.466935,0.137260,0.127813
-0.465914,0.121594,0.209744
-0.465579,0.115627,0.204282
-0.465245,0.124578,0.327725
-0.464911,0.132784,0.230500
-0.464577,0.093247,0.349573
-0.464242,0.056694,0.245794
-0.463908,0.114881,0.351758
-0.463574,0.163369,0.259995
-0.463240,0.066392,0.242516
-0.462906,0.098469,0.314616
-0.462571,0.108167,0.367052
-0.462237,0.157401,0.263272
-0.461903,0.143228,0.318986
-0.460881,0.116373,0.196635
-0.460547,0.167099,0.311339
-0.460213,0.143974,0.339742
-0.459879,0.141736,0.367052
-0.459544,0.102199,0.211929
-0.459210,0.102945,0.282936
-0.458876,0.123832,0.363775
-0.458542,0.177543,0.336464
-0.458208,0.226777,0.185711
-0.457873,0.174559,0.386715
-0.457539,0.209620,0.367052
-0.457205,0.144720,0.266550
-0.456871,0.138752,0.296045
-0.456536,0.173067,0.436967
-0.456202,0.112643,0.382346
-0.455868,0.119356,0.242516
-0.455534,0.140990,0.293860
-0.455199,0.164115,0.367052
-0.454865,0.085041,0.312431
-0.454531,0.131292,0.213021
-0.454197,0.143228,0.339742
-0.453863,0.194700,0.258903
-0.453528,0.149196,0.291675
-0.453194,0.167845,0.352851
-0.452860,0.123086,0.310246
-0.452526,0.192462,0.309154
-0.452191,0.179035,0.303692
-0.451857,0.099215,0.370329
-0.451523,0.196938,0.322263
-0.451189,0.074598,0.275289
-0.450855,0.223047,0.368144
-0.450520,0.160385,0.318986
-0.450186,0.172321,0.288398
-0.449852,0.280488,0.380161
-0.449518,0.211112,0.380161
-0.449183,0.167845,0.359405
-0.448849,0.216334,0.451168
-0.448515,0.161877,0.385623
-0.448181,0.196192,0.410749
-0.447846,0.119356,0.325540
-0.447512,0.193954,0.261088
-0.447178,0.194700,0.306969
-0.446844,0.160385,0.290583
-0.446509,0.193208,0.351758
-0.446175,0.274520,0.416211
-0.445841,0.151433,0.324448
-0.445507,0.204398,0.346296
-0.445173,0.231253,0.346296
-0.444838,0.246173,0.306969
-0.444504,0.273028,0.316801
-0.444170,0.220063,0.414026
-0.443836,0.174559,0.356128
-0.443501,0.227523,0.315708
-0.443167,0.168591,0.237054
-0.442833,0.170829,0.309154
-0.442499,0.214096,0.344111
-0.442852,0.165607,0.420580
-0.442518,0.235729,0.314616
-0.441496,0.219317,0.216298
-0.441162,0.161877,0.353943
-0.440827,0.159639,0.297137
-0.441181,0.205890,0.346296
-0.440847,0.197684,0.338649
-0.439825,0.262584,0.452260
-0.440178,0.252886,0.383438
-0.439844,0.169337,0.346296
-0.439510,0.217080,0.289490
-0.439175,0.217825,0.222853
-0.438841,0.214842,0.439151
-0.438507,0.158147,0.345204
-0.438173,0.235729,0.422765
-0.437838,0.140990,0.355035
-0.437504,0.229015,0.392178
-0.437170,0.199922,0.418396
-0.436836,0.144720,0.402009
-0.436501,0.200668,0.392178
-0.436167,0.205890,0.535284
-0.435833,0.267806,0.345204
-0.435499,0.132784,0.442429
-0.435165,0.232745,0.346296
-0.434830,0.290931,0.338649
-0.434496,0.180527,0.406379
-0.434162,0.284963,0.352851
-0.433828,0.203652,0.382346
-0.433493,0.308089,0.306969
-0.433159,0.243935,0.382346
-0.432825,0.239459,0.411841
-0.432491,0.228269,0.375791
-0.432157,0.226031,0.343019
-0.431822,0.229015,0.288398
-0.431488,0.243189,0.363775
-0.431154,0.234983,0.386715
-0.430820,0.237967,0.505789
-0.430485,0.305851,0.420580
-0.430151,0.282726,0.400917
-0.429817,0.242443,0.386715
-0.429483,0.229761,0.416211
-0.429148,0.205890,0.474109
-0.428814,0.246173,0.511251
-0.428480,0.278250,0.590997
-0.428146,0.211112,0.358313
-0.427812,0.249157,0.420580
-0.427477,0.249157,0.391085
-0.427143,0.312565,0.396547
-0.426809,0.229761,0.509066
-0.426475,0.269298,0.475201
-0.426140,0.307343,0.445706
-0.425806,0.370005,0.480663
-0.425472,0.286455,0.333187
-0.425138,0.245427,0.323355
-0.424804,0.308089,0.409656
-0.424469,0.328230,0.492680
-0.424135,0.272282,0.323355
-0.423801,0.296899,0.428227
-0.423467,0.349864,0.391085
-0.423132,0.237967,0.365960
-0.422798,0.223793,0.380161
-0.422464,0.290931,0.454445
-0.422130,0.295407,0.469739
-0.421795,0.311073,0.403102
-0.421461,0.229761,0.491587
-0.421127,0.279742,0.488310
-0.420793,0.287201,0.325540
-0.420459,0.293915,0.415118
-0.420124,0.372243,0.475201
-0.419790,0.352101,0.486125
-0.419456,0.229761,0.355035
-0.419122,0.307343,0.392178
-0.418787,0.279742,0.486125
-0.418453,0.259600,0.463185
-0.418119,0.331960,0.534192
-0.417785,0.284963,0.364867
-0.417451,0.293169,0.476294
-0.417116,0.249903,0.574611
-0.416782,0.343896,0.513436
-0.416448,0.301375,0.498142
-0.416113,0.425207,0.551670
-0.415779,0.372989,0.474109
-0.415445,0.278996,0.442429
-0.415111,0.290931,0.480663
-0.414777,0.322262,0.442429
-0.414442,0.357323,0.506881
-0.414108,0.284963,0.480663
-0.413774,0.396860,0.487218
-0.413440,0.321516,0.487218
-0.413106,0.342404,0.322263
-0.412771,0.302121,0.490495
-0.412437,0.339420,0.403102
-0.412103,0.343896,0.519990
-0.411769,0.241697,0.628139
-0.411434,0.284963,0.487218
-0.411100,0.319278,0.534192
-0.410766,0.273028,0.464277
-0.410432,0.346134,0.502512
-0.410098,0.390892,0.538561
-0.409763,0.325992,0.448983
-0.409429,0.339420,0.559317
-0.409095,0.358069,0.431505
-0.408761,0.329722,0.533099
-0.408426,0.311073,0.479571
-0.408092,0.349864,0.421673
-0.407758,0.343150,0.444614
-0.407424,0.399844,0.590997
-0.407089,0.403574,0.566964
-0.406755,0.309581,0.492680
-0.406421,0.381195,0.482848
-0.406087,0.377465,0.459907
-0.405752,0.258108,0.486125
-0.405418,0.330468,0.624862
-0.405084,0.325992,0.507974
-0.404750,0.425953,0.529822
-0.404416,0.318532,0.571334
-0.404081,0.350610,0.487218
-0.403747,0.351356,0.530914
-0.404100,0.357323,0.429320
-0.403079,0.379703,0.670744
-0.403432,0.316295,0.652173
-0.403097,0.299883,0.631417
-0.402076,0.305851,0.570241
-0.402429,0.393130,0.607384
-0.401407,0.363291,0.499234
